"userid","kept","late.luck","type"
151,TRUE,FALSE,TRUE
154,TRUE,TRUE,TRUE
155,TRUE,FALSE,TRUE
156,TRUE,TRUE,FALSE
157,TRUE,TRUE,TRUE
158,TRUE,FALSE,TRUE
159,TRUE,FALSE,TRUE
161,TRUE,TRUE,TRUE
162,TRUE,FALSE,TRUE
164,FALSE,FALSE,TRUE
165,TRUE,FALSE,TRUE
166,TRUE,TRUE,TRUE
167,TRUE,FALSE,FALSE
168,TRUE,FALSE,TRUE
169,TRUE,TRUE,TRUE
170,TRUE,FALSE,TRUE
172,TRUE,FALSE,TRUE
173,TRUE,FALSE,TRUE
174,FALSE,TRUE,TRUE
175,FALSE,FALSE,TRUE
176,TRUE,FALSE,TRUE
178,TRUE,TRUE,TRUE
180,TRUE,FALSE,FALSE
181,FALSE,FALSE,TRUE
185,FALSE,TRUE,TRUE
187,FALSE,FALSE,TRUE
188,FALSE,FALSE,TRUE
189,TRUE,FALSE,TRUE
190,TRUE,TRUE,TRUE
191,TRUE,TRUE,TRUE
192,TRUE,FALSE,TRUE
194,TRUE,FALSE,TRUE
195,TRUE,TRUE,TRUE
196,FALSE,TRUE,FALSE
197,TRUE,FALSE,TRUE
200,TRUE,FALSE,TRUE
201,TRUE,FALSE,TRUE
202,TRUE,FALSE,TRUE
203,TRUE,FALSE,TRUE
204,TRUE,FALSE,TRUE
208,TRUE,FALSE,TRUE
211,TRUE,TRUE,TRUE
212,TRUE,FALSE,TRUE
213,FALSE,FALSE,FALSE
214,TRUE,FALSE,TRUE
215,TRUE,FALSE,TRUE
216,TRUE,FALSE,TRUE
218,TRUE,FALSE,TRUE
219,TRUE,FALSE,TRUE
220,TRUE,FALSE,TRUE
221,TRUE,FALSE,FALSE
222,TRUE,FALSE,TRUE
223,TRUE,FALSE,TRUE
224,TRUE,FALSE,TRUE
225,TRUE,FALSE,TRUE
226,TRUE,FALSE,TRUE
228,TRUE,TRUE,TRUE
229,TRUE,FALSE,TRUE
230,TRUE,TRUE,TRUE
231,FALSE,FALSE,TRUE
232,FALSE,FALSE,TRUE
233,TRUE,FALSE,TRUE
235,TRUE,TRUE,TRUE
236,FALSE,FALSE,TRUE
238,TRUE,FALSE,TRUE
239,TRUE,FALSE,TRUE
240,TRUE,FALSE,TRUE
241,TRUE,FALSE,TRUE
242,TRUE,TRUE,TRUE
243,TRUE,FALSE,TRUE
245,TRUE,TRUE,TRUE
247,TRUE,FALSE,TRUE
248,TRUE,TRUE,TRUE
249,TRUE,TRUE,FALSE
250,FALSE,FALSE,TRUE
251,TRUE,TRUE,TRUE
252,FALSE,FALSE,TRUE
253,TRUE,FALSE,TRUE
254,TRUE,FALSE,TRUE
255,TRUE,FALSE,TRUE
256,TRUE,FALSE,TRUE
257,FALSE,FALSE,TRUE
259,TRUE,FALSE,TRUE
260,TRUE,TRUE,TRUE
261,TRUE,FALSE,TRUE
262,FALSE,FALSE,TRUE
263,TRUE,FALSE,TRUE
264,FALSE,FALSE,TRUE
265,TRUE,TRUE,TRUE
267,TRUE,FALSE,TRUE
269,TRUE,FALSE,TRUE
270,TRUE,FALSE,TRUE
271,TRUE,TRUE,TRUE
272,TRUE,TRUE,TRUE
273,TRUE,FALSE,TRUE
274,TRUE,FALSE,TRUE
275,FALSE,FALSE,TRUE
276,TRUE,TRUE,TRUE
277,TRUE,TRUE,TRUE
278,TRUE,TRUE,TRUE
279,FALSE,FALSE,TRUE
280,FALSE,TRUE,TRUE
282,FALSE,FALSE,TRUE
283,FALSE,FALSE,TRUE
284,TRUE,FALSE,TRUE
285,TRUE,TRUE,TRUE
288,TRUE,FALSE,TRUE
289,TRUE,TRUE,TRUE
290,FALSE,TRUE,FALSE
291,TRUE,FALSE,TRUE
292,TRUE,FALSE,TRUE
293,TRUE,FALSE,TRUE
294,FALSE,TRUE,TRUE
295,TRUE,FALSE,TRUE
296,TRUE,FALSE,TRUE
297,TRUE,FALSE,TRUE
298,TRUE,FALSE,TRUE
299,FALSE,FALSE,FALSE
300,TRUE,FALSE,TRUE
301,FALSE,FALSE,TRUE
303,FALSE,FALSE,TRUE
304,TRUE,FALSE,TRUE
305,TRUE,FALSE,TRUE
307,TRUE,TRUE,TRUE
308,TRUE,FALSE,TRUE
311,FALSE,FALSE,TRUE
313,TRUE,FALSE,TRUE
315,TRUE,FALSE,TRUE
316,TRUE,FALSE,TRUE
319,TRUE,FALSE,TRUE
320,FALSE,FALSE,TRUE
321,TRUE,FALSE,TRUE
322,TRUE,FALSE,TRUE
323,TRUE,FALSE,TRUE
326,TRUE,FALSE,TRUE
328,TRUE,FALSE,TRUE
329,TRUE,FALSE,FALSE
330,TRUE,FALSE,TRUE
332,TRUE,TRUE,TRUE
333,TRUE,FALSE,TRUE
334,TRUE,FALSE,TRUE
