"nr","lwage_1980","educ_1980","black_1980","hisp_1980","exper_1980","married_1980","union_1980","hours_1980","lwage_1981","educ_1981","black_1981","hisp_1981","exper_1981","married_1981","union_1981","hours_1981","lwage_1982","educ_1982","black_1982","hisp_1982","exper_1982","married_1982","union_1982","hours_1982","lwage_1983","educ_1983","black_1983","hisp_1983","exper_1983","married_1983","union_1983","hours_1983","lwage_1984","educ_1984","black_1984","hisp_1984","exper_1984","married_1984","union_1984","hours_1984","lwage_1985","educ_1985","black_1985","hisp_1985","exper_1985","married_1985","union_1985","hours_1985","lwage_1986","educ_1986","black_1986","hisp_1986","exper_1986","married_1986","union_1986","hours_1986","lwage_1987","educ_1987","black_1987","hisp_1987","exper_1987","married_1987","union_1987","hours_1987"
13,1.19754,14,0,0,1,0,0,2672,1.85306,14,0,0,2,0,1,2320,1.344462,14,0,0,3,0,0,2940,1.433213,14,0,0,4,0,0,2960,1.568125,14,0,0,5,0,0,3071,1.699891,14,0,0,6,0,0,2864,-0.7202626,14,0,0,7,0,0,2994,1.669188,14,0,0,8,0,0,2640
17,1.675962,13,0,0,4,0,0,2484,1.518398,13,0,0,5,0,0,2804,1.559191,13,0,0,6,0,0,2530,1.72541,13,0,0,7,0,0,2340,1.622022,13,0,0,8,0,0,2486,1.608588,13,0,0,9,0,0,2164,1.572385,13,0,0,10,0,0,2749,1.820334,13,0,0,11,0,0,2476
18,1.515963,12,0,0,4,1,0,2332,1.735379,12,0,0,5,1,0,2116,1.631744,12,0,0,6,1,0,2500,1.998229,12,0,0,7,1,0,2474,2.184014,12,0,0,8,1,0,2362,2.266662,12,0,0,9,1,0,2340,2.069944,12,0,0,10,1,0,2340,2.873161,12,0,0,11,1,0,2340
45,1.894115,12,0,0,2,0,1,1864,1.471159,12,0,0,3,0,1,2021,1.473498,12,0,0,4,0,0,2274,1.740914,12,0,0,5,0,0,2112,1.823214,12,0,0,6,0,0,1920,1.908273,12,0,0,7,0,0,2205,1.742447,12,0,0,8,0,0,2551,2.135689,12,0,0,9,1,0,2860
110,1.948775,12,0,0,5,0,1,2080,1.962259,12,0,0,6,0,0,2080,1.963297,12,0,0,7,0,0,2639,2.202516,12,0,0,8,0,0,2223,2.134954,12,0,0,9,1,0,2150,2.125823,12,0,0,10,1,0,1532,1.991017,12,0,0,11,1,0,2080,2.112393,12,0,0,12,1,0,2080
120,0.2585549,10,0,0,2,0,0,1025,1.319972,10,0,0,3,0,0,1496,1.462085,10,0,0,4,0,0,1394,1.320287,10,0,0,5,0,0,2924,1.703647,10,0,0,6,0,0,3564,1.445803,10,0,0,7,0,0,3979,1.806364,10,0,0,8,0,0,4351,2.14812,10,0,0,9,0,0,3568
126,1.737285,13,0,0,2,0,0,3115,1.989601,13,0,0,3,0,0,2735,2.189917,13,0,0,4,0,0,2390,1.855463,13,0,0,5,0,0,2340,1.922438,13,0,0,6,0,0,2250,2.061024,13,0,0,7,1,0,2340,1.782202,13,0,0,8,1,0,2941,2.414682,13,0,0,9,1,0,2847
150,1.208735,12,0,0,2,0,0,1876,1.19404,12,0,0,3,0,0,2327,1.170441,12,0,0,4,0,0,2006,1.097965,12,0,0,5,0,0,1826,0.7658162,12,0,0,6,0,0,3414,1.119026,12,0,0,7,0,0,3928,1.119367,12,0,0,8,0,0,4000,0.8314595,12,0,0,9,0,1,4992
162,0.5024701,11,0,0,2,0,1,1874,1.064912,11,0,0,3,0,0,1710,1.189498,11,0,0,4,0,0,1488,1.539889,11,0,0,5,0,0,939,1.598286,11,0,0,6,0,0,1980,1.737321,11,0,0,7,0,0,2735,1.988456,11,0,0,8,0,0,2720,2.158679,11,0,0,9,0,0,2795
166,1.005294,10,0,0,2,0,1,1296,0.9376874,10,0,0,3,0,1,1942,1.367488,10,0,0,4,0,1,1245,1.378009,10,0,0,5,0,1,1196,1.170184,10,0,0,6,0,1,2387,1.728221,10,0,0,7,0,0,2160,1.709865,10,0,0,8,1,0,2336,1.851075,10,0,0,9,1,0,2301
189,1.130545,14,0,0,2,0,0,520,0.836248,14,0,0,3,0,0,520,1.46736,14,0,0,4,0,0,520,1.071484,14,0,0,5,0,0,520,1.44592,14,0,0,6,0,0,1400,1.685116,14,0,0,7,0,0,1754,1.686175,14,0,0,8,0,0,1840,1.75513,14,0,0,9,0,0,1872
193,1.565692,14,0,0,2,0,0,980,2.493875,14,0,0,3,0,0,925,1.822662,14,0,0,4,0,0,2187,2.380336,14,0,0,5,0,0,2080,2.217129,14,0,0,6,0,0,2346,2.272032,14,0,0,7,1,0,2487,2.353799,14,0,0,8,1,0,2328,2.42945,14,0,0,9,1,0,2132
209,1.918003,11,0,0,3,0,0,2340,0.7654077,11,0,0,4,0,0,1935,1.978185,11,0,0,5,0,0,2080,1.948554,11,0,0,6,0,0,2080,2.037026,11,0,0,7,0,0,2280,1.902575,11,0,0,8,0,0,2520,1.972604,11,0,0,9,0,0,2395,2.186982,11,0,0,10,0,0,2145
212,1.784472,11,0,0,2,0,0,2080,2.179983,11,0,0,3,0,0,2080,1.963865,11,0,0,4,0,1,2110,2.044933,11,0,0,5,0,0,2550,2.012861,11,0,0,6,0,0,2560,2.096986,11,0,0,7,0,0,2704,2.143966,11,0,0,8,1,0,2856,2.241284,11,0,0,9,1,1,2912
218,2.013313,15,0,0,2,0,0,2080,1.962152,15,0,0,3,0,0,2530,2.275641,15,0,0,4,0,0,2240,2.194918,15,0,0,5,1,0,2520,2.428337,15,0,0,6,1,0,2405,2.723037,15,0,0,7,1,0,2130,2.966396,15,0,0,8,1,0,2080,3.065052,15,0,0,9,1,0,2080
